"magazine","year","month","seq_issue","page_no","category","title","sub-title","author(s)","photographer(s)","optional-1","optional-2","optional-3"
"EMM","1973","1","1.1","1","None","Editorial","","J.M. Thomson","","","","","",""
"EMM","1973","1","1.1","3","None","On the performance of 15th century chansons","","Howard Mayer Brown","","","","","",""
"EMM","1973","1","1.1","11","None","Percussion instruments of the Middle Ages and Renaissance","","James Blades","","","","","",""
"EMM","1973","1","1.1","18","Sale Room Record","Stanesby flute, Kirckman harpsichord","","","","","","","",""
"EMM","1973","1","1.1","19","None","Renaissance through Japanese eyes","record of a strange triumphal journey","Eta Harich Schneider","","","","","",""
"EMM","1973","1","1.1","27","None","Early pianos","their history and character","C.F. Colt","","","","","",""
"EMM","1973","1","1.1","34","None","Where the wind blows","","Christopher Monk","","","","","",""
"EMM","1973","1","1.1","37","None","International recorder and early music ensemble competition","Bruges 1972","","","","","","",""
"EMM","1973","4","1.2","66","None","Vivaldi's church music: an introduction","","Denis Arnold","","","","","",""
"EMM","1973","4","1.2","77","None","The cittern","","Robert Hadaway","","","","","",""
"EMM","1973","4","1.2","81","None","The cittern repertoire","","George A. Weigand","","","","","",""
"EMM","1973","4","1.2","84","None","Capriole's revenge","a conversation between James Blades and Jeremy Montagu wherein the pupil instructs the master.","","","","","","",""
"EMM","1973","4","1.2","93","None","Playing early pianos - a lost tradition","","Madeau Stewart","","","","","",""
"EMM","1973","4","1.2","97","Sale Room Record","The London Salerooms in 1972","","Graham Wells","","","","","",""
"EMM","1973","4","1.2","101","None","Where the wind blows","","Christopher Monk","","","","","",""
"EMM","1973","4","1.2","107","None","Recorder modifications","in search of the expressive recorder","Alec Loretto","","","","","",""
"EMM","1973","4","1.2","111","Book Review","Stanley Sadie: Handel Concertos","","Hutchins","","","","","",""
"EMM","1973","4","1.2","112","Book Review","Edwin M Ripin, ed.: Keyboard instruments","","Stewart","","","","","",""
"EMM","1973","4","1.2","112","Book Review","Francis Routh: Early English organ music","","Langley","","","","","",""
"EMM","1973","4","1.2","113","Book Review","E.H. Fellows, revised by J.A. Westrup: English cathedral music","","Thomson","","","","","",""
"EMM","1973","4","1.2","113","Book Review","Lyndesay G. Langwill: An index of wind instrument makers","","Baines","","","","","",""
"EMM","1973","7","1.3","129","None","Editorial","","J.M. Thomson","","","","","",""
"EMM","1973","7","1.3","131","None","The choice of instruments in baroque music","","Robert Donnington","","","","","",""
"EMM","1973","7","1.3","139","None","The crumhorn: historical sources","","Marcus Wells","","","","","",""
"EMM","1973","7","1.3","142","None","An introduction to the crumhorn repertoire","","Bernard Thomas","","","","","",""
"EMM","1973","7","1.3","147","None","Recorder modifications 2","how to make blocks","Alec Loretto","","","","","",""
"EMM","1973","7","1.3","152","None","New types of flute embouchure sections","","Raoul J. Fajardo","","","","","",""
"EMM","1973","7","1.3","154","None","Where the wind blows","","Christopher Monk","","","","","",""
"EMM","1973","7","1.3","167","Book Review","David Johnson: Music and Society in Lowland Scotland in the 18th century","","Stewart ","","","","","",""
"EMM","1973","10","1.4","193","None","Editorial","","J.M. Thomson","","","","","",""
"EMM","1973","10","1.4","195","None","The art of courtley love","","David Munrow","","","","","",""
"EMM","1973","10","1.4","201","None","The Shaekespeare-Purcell Fairy Queen","a defense and recommendation","Roger Savage","","","","","",""
"EMM","1973","10","1.4","223","None","On the reconstruction of a medieval tabor","","Alan Mynett","","","","","",""
"EMM","1973","10","1.4","229","None","Recorder modifications 3","","Alec Loretto","","","","","",""
"EMM","1973","10","1.4","233","None","Where the wind blows","","Christopher Monk","","","","","",""
"EMM","1973","10","1.4","239","Book Review","Frederick Crane: Extant medieval musical instruments: a provisional catalogue by types","","Brown","","","","","",""
"EMM","1973","10","1.4","241","Book Review","Willi Apel: The history of keyboard music to 1700 (tr Tischler)","","Caldwell","","","","","",""
"EMM","1973","10","1.4","243","Book Review","Nigel Wilkins:  One hundred ballades, rondeaux and virelais from the late middle ages","","Jeffrey","","","","","",""
"EMM","1973","10","1.4","245","Book Review","Paula Johnson: Form and transformation in music and poetry in English renaissance","","Walls","","","","","",""
