"magazine","year","month","seq_issue","page_no","category","title","sub-title","author(s)","photographer(s)","optional-1","optional-2","optional-3"
"GALPIN","1948","3","1","2","None","Foreword: the President","","",""
"GALPIN","1948","3","1","3","None","F.W.G. (Canon Francis Galpin) 1858-1945","","F. Geoffrey Rendall",""
"GALPIN","1948","3","1","9","None","James Talbot's Manuscript","","Anthony Baines",""
"GALPIN","1948","3","1","27","None","Early orchestras: some contemporary accounts","","",""
"GALPIN","1948","3","1","28","None","Studies in keyboard temperaments","","A.R. McClure",""
"GALPIN","1948","3","1","41","None","A note on the genealogy of the double bass","","Eric Halfpenny",""
"GALPIN","1948","3","1","46","None","The cittern and its English music","","Thurston Dart",""
"GALPIN","1948","3","1","64","Notes & Queries","A tuning hammer for bowed instruments","","Eric Halfpenny",""
"GALPIN","1948","3","1","64","Notes & Queries","An unusual English bassoon","","Philip Bate",""
"GALPIN","1948","3","1","65","Book Review","Denis:  De muziekinstrumenten in de Nederlanden en in Italië naar hun afbeelding in de 15th eeuwse kunst. 35 pp.+20 plates","","Dart",""
"GALPIN","1948","3","1","66","Book Review","Closson:  History of the piano. 169 pp","","Gough, Halfpenny, Dart",""
"GALPIN","1948","3","1","68","Book Review","Jeppesen:  Die Italienische Orgelmusik am Anfang des Cinquecento","","Dart",""
"GALPIN","1949","3","2","3","None","The Adam Carse collection of wind instruments","","Adam Carse",""
"GALPIN","1949","3","2","10","None","The English 2- and 3-keyed hautboy","","Eric Halfpenny",""
"GALPIN","1949","3","2","27","None","An 18th century directory of London musicians","","",""
"GALPIN","1949","3","2","32","None","Musical instruments in 15th century Netherlands and Italian art","","Valentin Denis",""
"GALPIN","1949","3","2","47","None","An unrecorded lute by Hans Frei","","Michael Prynne",""
"GALPIN","1949","3","2","52","Notes & Queries","Callcott's radius French horn (an English Cor omnitonique)","","Bate",""
"GALPIN","1949","3","2","54","Book Review","Mélanges Ernest Closson. 204 pp","","Dart",""
"GALPIN","1949","3","2","55","Book Review","Hickmann:  La trompette dans l'Egypte ancienne. 80 pp","","Dart",""
"GALPIN","1949","3","2","55","Book Review","Macdermott:  The old church gallery minstrels. 77 pp","","Langwill",""
"GALPIN","1949","3","2","56","Book Review","Dictionaire des instruments de musique. 192 pp","","Morley-Pegge",""
"GALPIN","1949","3","2","60","Book Review","van Esbroeck, Montfort:  Qu'est-ce que jouer juste? (What is playing in tune?)","","Dart",""
"GALPIN","1950","3","3","3","None","Handel and the clarinet","","R.B. Chatwin",""
"GALPIN","1950","3","3","9","None","The lute and Musick's Monument","","Donald Gill",""
"GALPIN","1950","3","3","12","None","Two early English harpsichords","","Frank Hubbard",""
"GALPIN","1950","3","3","19","None","15th century instruments in Tinctoris's De Inventione et Usa Musicæ","","Anthony Baines",""
"GALPIN","1950","3","3","27","None","James Talbot's manuscript","","Robert Donnington",""
"GALPIN","1950","3","3","46","Notes & Queries","The lyrichord (includes `A description of the nature and construction of the lyrichord')","","Eric Halfpenny",""
"GALPIN","1950","3","3","49","None","Calcott's radius French horn (an omnitonic horn)","","Morley-Pegge",""
